Date,Open,High,Low,Close,Volume,Range,%K(Fast)(14),"%D(Fast)(14,3)","VWMA(C,20)",%K(Fast)(9),"%D(Fast)(9,3)",%K(Fast)(40),"%D(Fast)(40,4)","%K(Full)(60,10)","%D(Full)(60,10,10)",ATR(14)
31/12/2024 05:17:00,5975.25,5975.75,5975,5975.5,283,0.75,85.7,87.1,5972.34,80.8,83.8,61.2,58.9,41.3,29.9,1.661
31/12/2024 05:18:00,5975.5,5975.5,5974.5,5974.75,129,1,77.1,82.1,5972.38,63.6,73.7,55.1,57.4,42.3,32.1,1.625
31/12/2024 05:19:00,5975,5975.75,5974.25,5974.5,243,1.5,74.3,78.2,5972.44,43.8,58.7,53.1,55.7,42.7,34,1.518
31/12/2024 05:20:00,5974.75,5974.75,5970.25,5971.5,918,4.5,38.2,58.2,5972.34,19.2,39,28.6,44.8,39.4,35,1.714
31/12/2024 05:21:00,5971.75,5972.25,5970.75,5971.5,264,1.5,27.6,42.9,5972.39,19.2,29.1,28.6,38.3,36.6,35.3,1.643
31/12/2024 05:22:00,5971.5,5972.75,5970.5,5972.5,398,2.25,34.6,38.8,5972.46,34.6,31.9,36.7,37.7,35.6,35.4,1.732
31/12/2024 05:23:00,5972.5,5973,5971.5,5972.5,238,1.5,34.6,36.7,5972.58,34.6,33.2,37.5,37.6,34.8,35.2,1.714
31/12/2024 05:24:00,5972.75,5974.75,5972.75,5974.75,309,2,69.2,53,5972.71,69.2,51.2,57.4,45.5,36.9,35.5,1.75
31/12/2024 05:25:00,5974.5,5975.5,5972.75,5973,247,2.75,42.3,47.6,5972.99,50,50.6,44.4,45.1,36.5,35.7,1.821
31/12/2024 05:26:00,5973.5,5973.5,5972.25,5972.75,205,1.25,38.5,43,5973.31,45.5,48,45.2,45.2,36,35.8,1.804
31/12/2024 05:27:00,5972.75,5974.5,5972.75,5974.5,185,1.75,65.4,54.2,5973.47,77.3,62.7,66.7,53.8,38.1,36.2,1.804
31/12/2024 05:28:00,5974.5,5975.25,5974,5975,178,1.25,73.1,63.6,5973.57,90.5,76.6,80,64.3,40.4,36.9,1.821
31/12/2024 05:29:00,5975.25,5975.25,5974.5,5974.5,148,0.75,65.4,64.5,5973.76,80,78.3,74.3,68.3,41.8,37.8,1.768
31/12/2024 05:30:00,5974.25,5975,5973.5,5974.75,201,1.5,81.8,73.2,5973.84,85,81.6,77.1,71.8,43.6,38.9,1.75
31/12/2024 05:31:00,5974.5,5977.5,5974.5,5977.5,437,3,100,86.6,5974.02,100,90.8,100,83.1,49,40.7,1.911
31/12/2024 05:32:00,5977.5,5978.75,5977.25,5978.5,462,1.5,97.1,91.8,5974.38,96.2,93.5,97.7,88.9,54.8,43.3,1.946
